Project Number,Project Name,Path
2101,Hampshire Blvd,L:\Shared\Projects\2021\2101_Hampshire Blvd
2102,2078 Roscomare Rd,L:\Shared\Projects\2021\2102_2078 Roscomare Rd
2103,5500 5506 Venice,L:\Shared\Projects\2021\2103_5500 5506 Venice
2104,8300 Firestone Blvd,L:\Shared\Projects\2021\2104_8300 Firestone Blvd
2105,6600 Topanga Canyon,L:\Shared\Projects\2021\2105_6600 Topanga Canyon
2106,861 Valley Dr,L:\Shared\Projects\2021\2106_861 Valley Dr
2107,1238-1242 Formosa,L:\Shared\Projects\2021\2107_1238-1242 Formosa
2108,650 S Spring St,L:\Shared\Projects\2021\2108_650 S Spring St
2109,6934 Owensmouth Ave,L:\Shared\Projects\2021\2109_6934 Owensmouth Ave
2110,8350 Reseda,L:\Shared\Projects\2021\2110_8350 Reseda
2112,1401 Eagle,L:\Shared\Projects\2021\2112_1401 Eagle
2113,684 New Hampshire Avenue,L:\Shared\Projects\2021\2113_684 New Hampshire Avenue
2114,SWD Urethane- Mesa AZ,L:\Shared\Projects\2021\2114_SWD Urethane- Mesa AZ
2115,Nature's Wonder,L:\Shared\Projects\2021\2115_Nature's Wonder
2116,Brynn_Civita Apt for Sudberrry,L:\Shared\Projects\2021\2116_Brynn_Civita Apt for Sudberrry
2117,Walmart Los Lunas NM,L:\Shared\Projects\2021\2117_Walmart Los Lunas NM
2118,Marina Del Rey - Preliminary Design,L:\Shared\Projects\2021\2118_Marina Del Rey - Preliminary Design
2119,861 Valley Dr,L:\Shared\Projects\2021\2119_861 Valley Dr
2120,Therabody - Santa Monica,L:\Shared\Projects\2021\2120_Therabody - Santa Monica
2121,Therabody - Manhattan Village,L:\Shared\Projects\2021\2121_Therabody - Manhattan Village
2122,Therabody - Brentwood Gardens,L:\Shared\Projects\2021\2122_Therabody - Brentwood Gardens
2123,6000 Monterey,L:\Shared\Projects\2021\2123_6000 Monterey
2124,Diamond Clinic,L:\Shared\Projects\2021\2124_ Diamond Clinic
2125,1038 S. Fair Oaks Ave,L:\Shared\Projects\2021\2125_ 1038 S. Fair Oaks Ave
2126,T-24 1714 South Euclid,L:\Shared\Projects\2021\2126_T-24 1714 South Euclid
2127,Fire Damage Repair-Paragon Equities,L:\Shared\Projects\2021\2127_Fire Damage Repair-Paragon Equities
2128,3840 6th Ave,L:\Shared\Projects\2021\2128_3840 6th Ave
2129,Sturgis,L:\Shared\Projects\2021\2129_Sturgis
2130,8461 Higuera,L:\Shared\Projects\2021\2130_8461 Higuera
2131,416 W Chestnut,L:\Shared\Projects\2021\2131_416 W Chestnut
2132,Jewerly Store,L:\Shared\Projects\2021\2132_Jewerly Store
2133,MEBO Lakeshore,L:\Shared\Projects\2021\2133_MEBO Lakeshore
2134,923 N Manzanita,L:\Shared\Projects\2021\2134_923 N Manzanita
2135,970 N Hoover,L:\Shared\Projects\2021\2135_970 N Hoover
2136,Arc Flash COP-BVA,L:\Shared\Projects\2021\2136_Arc Flash COP-BVA
2137,Westfield UTC phase 3 expansion,L:\Shared\Projects\2021\2137_ Westfield UTC phase 3 expansion
2138,2962-2964 Reynard,L:\Shared\Projects\2021\2138_ 2962-2964 Reynard
2139,3517-3521 Louisiana,L:\Shared\Projects\2021\2139_ 3517-3521 Louisiana
2140,"GYM ST. CROIX, USVI","L:\Shared\Projects\2021\2140_GYM ST. CROIX, USVI"
2141,1372 E 18TH ST - Canyon Coffee,L:\Shared\Projects\2021\2141_1372 E 18TH ST - Canyon Coffee
2142,Therabody Standford,L:\Shared\Projects\2021\2142_Therabody Standford
2143,Villa Noble WEHO,L:\Shared\Projects\2021\2143_Villa Noble  WEHO
2144,6th & Robinson,L:\Shared\Projects\2021\2144_ 6th & Robinson
2146,1736-1738 Industrial St,L:\Shared\Projects\2021\2146_1736-1738 Industrial St
22-001,"3355-3377 Olympic (Los Angeles, CA)","L:\Shared\Projects\2022\22-001_3355-3377 Olympic (Los Angeles, CA)"
22-002,"2648 Piantino - Coppola (San Diego, CA)","L:\Shared\Projects\2022\22-002_2648 Piantino - Coppola (San Diego, CA)"
22-003,"The Met 2 (Santa Ana, CA)","L:\Shared\Projects\2022\22-003 The Met 2 (Santa Ana, CA)"
22-004,"8325 Caminito Linterna - Pool House (La Jolla, CA)","L:\Shared\Projects\2022\22-004_8325 Caminito Linterna - Pool House (La Jolla, CA)"
22-005,"2454 Lincoln Blvd, Marvel Car Wash (Venice, CA)","L:\Shared\Projects\2022\22-005_2454 Lincoln Blvd, Marvel Car Wash (Venice, CA)"
22-006,"10501 Buford (Inglewood, CA)","L:\Shared\Projects\2022\22-006 10501 Buford (Inglewood, CA)"
22-007,"Irving ADUs (San Diego, CA)","L:\Shared\Projects\2022\22-007 Irving ADUs (San Diego, CA)"
22-008,"Manitou Villa (San Diego, CA)","L:\Shared\Projects\2022\22-008 Manitou Villa (San Diego, CA)"
22-009,"Moreno Valley Mall (Moreno Valley, CA)","L:\Shared\Projects\2022\22-009 Moreno Valley Mall (Moreno Valley, CA)"
22-010,"Mama's Bakery (San Diego, CA)","L:\Shared\Projects\2022\22-010 Mama's Bakery (San Diego, CA)"
22-011,"Kalkaska Grow (Kalkaska, MI)","L:\Shared\Projects\2022\22-011 Kalkaska Grow (Kalkaska, MI)"
22-012,"4536 Idaho Street (San Diego, CA)","L:\Shared\Projects\2022\22-012 4536 Idaho Street (San Diego, CA)"
22-013,"4136 Oregon Street (San Diego, CA)","L:\Shared\Projects\2022\22-013 4136 Oregon Street (San Diego, CA)"
22-014,"5001 Wilshire (Los Angeles, CA)","L:\Shared\Projects\2022\22-014 5001 Wilshire (Los Angeles, CA)"
22-015,"Sunbelt - Camino De La Reina (San Diego, CA)","L:\Shared\Projects\2022\22-015 Sunbelt - Camino De La Reina (San Diego, CA)"
22-016,"169 Green Pasadena Green Bakery & Restaurant (Pasadena, CA)","L:\Shared\Projects\2022\22-016 169 Green Pasadena Green Bakery & Restaurant (Pasadena, CA)"
22-018,"3243 Drew Apartment (Los Angeles, CA)","L:\Shared\Projects\2022\22-018 3243 Drew Apartment (Los Angeles, CA)"
22-019,"Melrose Drive - Wendys (Vista, CA)","L:\Shared\Projects\2022\22-019 Melrose Drive - Wendys (Vista, CA)"
22-020,"Ocean Ranch - Pier 1 Redemise (Laguna Niguel, CA)","L:\Shared\Projects\2022\22-020 Ocean Ranch - Pier 1 Redemise (Laguna Niguel, CA)"
22-021,"Coast Blvd (La Jolla, CA)","L:\Shared\Projects\2022\22-021 Coast Blvd (La Jolla, CA)"
22-022,"Carmel PCH Apartments (Long Beach, CA)","L:\Shared\Projects\2022\22-022 Carmel PCH Apartments (Long Beach, CA)"
22-023,"Moreno Valley Mall 2066-2067 (Moreno Valley, CA)","L:\Shared\Projects\2022\22-023 Moreno Valley Mall 2066-2067 (Moreno Valley, CA)"
22-024,"Marea Village (Encinitas, CA)","L:\Shared\Projects\2022\22-024 Marea Village (Encinitas, CA)"
22-025,"West Cove Buildings (Dana Point, CA)","L:\Shared\Projects\2022\22-025 West Cove Buildings (Dana Point, CA)"
22-026,"9494 Haven (Rancho Cucamonga, CA)","L:\Shared\Projects\2022\22-026 9494 Haven (Rancho Cucamonga, CA)"
22-027,"Courtyard Marriott Pasadena (Pasadena, CA)","L:\Shared\Projects\2022\22-027 Courtyard Marriott Pasadena (Pasadena, CA)"
22-028,"SSCW 332 Arapahoe (Erie, CO)","L:\Shared\Projects\2022\22-028 SSCW 332 Arapahoe (Erie, CO)"
22-029,Atlas St,L:\Shared\Projects\2022\22-029 Atlas St
22-030,"4637-4639 [2212] Utah Street - utah-1 (San Diego, CA)","L:\Shared\Projects\2022\22-030 4637-4639 [2212] Utah Street - utah-1 (San Diego, CA)"
22-031,"4068 [2213] Texas Street - texas-2 (San Diego, CA)","L:\Shared\Projects\2022\22-031 4068 [2213] Texas Street - Texas-2 (San Diego, CA)"
22-032,"3960 [2214] Utah Street - utah-2 (San Diego, CA)","L:\Shared\Projects\2022\22-032 3960 [2214] Utah Street - utah-2 (San Diego, CA)"
22-033,"4558-4564 [2215] 30th Street - north - (San Diego, CA)","L:\Shared\Projects\2022\22-033 4558-4564 [2215] 30th Street - north - (San Diego, CA)"
22-034,"2104 [2216] El Cajon Blvd. (San Diego, CA)","L:\Shared\Projects\2022\22-034 2104 [2216] El Cajon Blvd.  (San Diego, CA)"
22-035,"3537 [2217] 30th Street, 3013 Capps (San Diego, CA)","L:\Shared\Projects\2022\22-035 3537 [2217] 30th Street, 3013 Capps  (San Diego, CA)"
22-036,"MR Marvel Car Wash (Santa Monica, CA)","L:\Shared\Projects\2022\22-036 MR Marvel Car Wash (Santa Monica, CA)"
22-037,,
22-038,"Cal Fish - Genesee Plaza (San Diego, CA)","L:\Shared\Projects\2022\22-038 Cal Fish - Genesee Plaza (San Diego, CA)"
22-038,,
22-039,"TMO El Cajon (San Diego, CA)","L:\Shared\Projects\2022\22-039 TMO El Cajon (San Diego, CA)"
22-040,"SSCW Thomas and Loop Carwash (Phoenix, AZ)","L:\Shared\Projects\2022\22-040 SSCW Thomas and Loop Carwash (Phoenix, AZ)"
23-001,"Mission Bay RV Resort (San Diego, CA)","L:\Shared\Projects\2023\23-001_Mission Bay RV Resort (San Diego, CA)"
23-002,"Esencia Commons (Rancho Mission Viejo, CA)","L:\Shared\Projects\2023\23-002 Esencia Commons (Rancho Mission Viejo, CA)"
23-003,"Safeway #0094 (Elk Grove, CA)","L:\Shared\Projects\2023\23-003 Safeway #0094 (Elk Grove, CA)"
23-004,"4202 & 4208-4210 Illinois Street (San Diego, CA)","L:\Shared\Projects\2023\23-004 4202 & 4208-4210 Illinois Street (San Diego, CA)"
23-005,"Arc'teryx_Brentwood (Los Angeles, CA)","L:\Shared\Projects\2023\23-005 Arc'teryx_Brentwood (Los Angeles, CA)"
23-006,"SSCW Cortaro Farms & Cerius (Tucson, AZ)","L:\Shared\Projects\2023\23-006 SSCW Cortaro Farms & Cerius  (Tucson, AZ)"
23-007,Arc'teryx-Pasadena_Pasadena-CA_Nadel,L:\Shared\Projects\2023\23-007_Arc'teryx-Pasadena_Pasadena-CA_Nadel
23-008,"Sterling - Lakewood (Canogo Park, CA)","L:\Shared\Projects\2023\23-008 Sterling - Lakewood (Canogo Park, CA)"
23-009,"245 S Spalding (Beverly Hills, CA)","L:\Shared\Projects\2023\23-009 245 S Spalding (Beverly Hills, CA)"
23-010,"Genesse Plaza (San Diego, CA)","L:\Shared\Projects\2023\23-010 Genesse Plaza (San Diego, CA)"
23-011,SSCW-Grant&Wilmot_PimaCounty AZ,L:\Shared\Projects\2023\23-011 SSCW-Grant&Wilmot_PimaCounty AZ
23-012,"BV - Senior Centers AF (Phoenix, AZ)","L:\Shared\Projects\2023\23-012 BV - Senior Centers AF (Phoenix, AZ)"
23-013,"Chipotle – South Reno #27-4841 (Reno, NV)","L:\Shared\Projects\2023\23-013 Chipotle – South Reno #27-4841 (Reno, NV)"
23-014,"Arc’teryx Fashion Island (Newport Beach, CA)","L:\Shared\Projects\2023\23-014 Arc’teryx Fashion Island (Newport Beach, CA)"
23-015,"Crescent Residence (Beverly Hills, CA)","L:\Shared\Projects\2023\23-015 Crescent Residence (Beverly Hills, CA)"
23-016,"BV Radio Towers (Phoenix, AZ)","L:\Shared\Projects\2023\23-016 BV Radio Towers (Phoenix, AZ)"
23-017,Westlake Load Study,L:\Shared\Projects\2023\23-017 Westlake Load Study
23-018,"Northwood Forum - Space 125 (Carlsbad, CA)","L:\Shared\Projects\2023\23-018 Northwood Forum - Space 125 (Carlsbad, CA)"
23-019,"Medical Offices (Arcadia, CA)","L:\Shared\Projects\2023\23-019 Medical Offices (Arcadia, CA)"
23-020,"SSCW-Dublin & Union (Colorado Springs, CO)","L:\Shared\Projects\2023\23-020 SSCW-Dublin & Union (Colorado Springs, CO)"
23-021,"Hermosa (Los Angeles, CA)","L:\Shared\Projects\2023\23-021 Hermosa (Los Angeles, CA)"
23-022,"6985 El Camino Real TI (Carlsbad, CA)","L:\Shared\Projects\2023\23-022 6985 El Camino Real TI (Carlsbad, CA)"
23-023,"6541 El Camino Real Facade (Carlsbad, CA)","L:\Shared\Projects\2023\23-023 6541 El Camino Real Facade (Carlsbad, CA)"
23-024,"Arc'terx - Chicago (Chicago, IL)","L:\Shared\Projects\2023\23-024 Arc'terx - Chicago (Chicago, IL)"
23-025,"Goodwill SOCAL (Los Angeles, CA)","L:\Shared\Projects\2023\23-025 Goodwill SOCAL (Los Angeles, CA)"
23-026,"WSS (Tempe, AZ)","L:\Shared\Projects\2023\23-026 WSS (Tempe, AZ)"
23-027,"Del Pardo-Olympic-TCA (Los Angeles, CA)","L:\Shared\Projects\2023\23-027 Del Pardo-Olympic-TCA (Los Angeles, CA)"
23-028,Windsor,L:\Shared\Projects\2023\23-028 Windsor
23-029,"Ramona Gas Station and Car Wash (Ramona, CA)","L:\Shared\Projects\2023\23-029 Ramona Gas Station and Car Wash (Ramona, CA)"
23-030,"WSS (Greenacres, FL)","L:\Shared\Projects\2023\23-030 WSS (Greenacres, FL)"
23-031,"DPH West Cove Building D (Dana Point , CA)","L:\Shared\Projects\2023\23-031 DPH West Cove Building D (Dana Point , CA)"
23-032,"Carlsbad Forum BBB (Carlsbad, CA)","L:\Shared\Projects\2023\23-032 Carlsbad Forum BBB (Carlsbad, CA)"
23-033,"6943 El Camino Real - Facade Renovation (Carlsbad, CA)","L:\Shared\Projects\2023\23-033 6943 El Camino Real - Facade Renovation (Carlsbad, CA)"
23-034,"Sudberry - Civita Block 4&5 (San Diego, CA)","L:\Shared\Projects\2023\23-034 Sudberry - Civita Block 4&5 (San Diego, CA)"
23-035,"Warehouse Shoe Source - SFS Village Phase II (Santa Fe Springs, CA)","L:\Shared\Projects\2023\23-035 Warehouse Shoe Source - SFS Village Phase II (Santa Fe Springs, CA)"
23-036,"Shabuya - Broth Plaza 183 (Cerritos, CA)","L:\Shared\Projects\2023\23-036 Shabuya - Broth Plaza 183 (Cerritos, CA)"
23-037,WESTAR - BIXBY - LONG BEACH - AO,L:\Shared\Projects\2023\23-037 WESTAR - BIXBY - LONG BEACH - AO
23-038,CHIRLA – Olympic Site - Los Angeles - LDA,L:\Shared\Projects\2023\23-038 CHIRLA – Olympic Site - Los Angeles - LDA
23-039,,
23-040,Outbound at Oakhurst Cabin 24,L:\Shared\Projects\2023\23-040 Outbound at Oakhurst Cabin 24
23-041,Arc'teryx_OldOrchard_Nadel,L:\Shared\Projects\2023\23-041_Arc'teryx_OldOrchard_Nadel
23-042,Chipotle_Sacramento_AO,L:\Shared\Projects\2023\23-042_Chipotle_Sacramento_AO
23-043,MissionMarketPlace_Oceanside_AO,L:\Shared\Projects\2023\23-043 MissionMarketPlace_Oceanside_AO
23-044,"SSCW Central Ave & Cambern Ave (Lake Elsinore, California)","L:\Shared\Projects\2023\23-044 SSCW Central Ave & Cambern Ave (Lake Elsinore, California)"
23-045,"SSCW Cactus Road & Loop 303 (Surprise,AZ)","L:\Shared\Projects\2023\23-045 SSCW Cactus Road & Loop 303 (Surprise,AZ)"
23-046,TheMarkAtBerkeley_LandmarkProperties,L:\Shared\Projects\2023\23-046_TheMarkAtBerkeley_LandmarkProperties
23-047,MorningLavender_SolanaBeach_AO,L:\Shared\Projects\2023\23-047_MorningLavender_SolanaBeach_AO
23-048,"SSCW Golf Links Road (Tucson, AR)","L:\Shared\Projects\2023\23-048 SSCW Golf Links Road (Tucson, AR)"
23-049,"2303-3829 Texas 3 (San Diego, CA)","L:\Shared\Projects\2023\23-049 2303-3829 Texas 3 (San Diego, CA)"
23-050,"3121 Martinez Residence (San Diego, CA)","L:\Shared\Projects\2023\23-050 3121 Martinez Residence ( San Diego, CA)"
23-051,Chipotle_PortlandOR_AO,L:\Shared\Projects\2023\23-051_Chipotle_PortlandOR_AO
23-052,Arc'teryx_ParkMeadowCO_Nadel,L:\Shared\Projects\2023\23-052_Arc'teryx_ParkMeadowCO_Nadel
23-053,SSCW_Meadowbrook-MarksheffelCO_AO,L:\Shared\Projects\2023\23-053_SSCW_Meadowbrook-MarksheffelCO_AO
23-054,SSCW_ElCajon-70thStreetCA_AO,L:\Shared\Projects\2023\23-054_SSCW_ElCajon-70thStreetCA_AO
23-055,SSCW_ValenciaRd-I10-FrontageRdAZ_AO,L:\Shared\Projects\2023\23-055_SSCW_ValenciaRd-I10-FrontageRdAZ_AO
23-056,Goodwill-SoCal_Atwater_KTGY,L:\Shared\Projects\2023\23-056_Goodwill-SoCal_Atwater_KTGY
23-057,Pavilion-at-Rancho-Mirage_Westar,L:\Shared\Projects\2023\23-057_Pavilion-at-Rancho-Mirage_Westar
23-058,Palomar-Airport-Rd-Car-Wash_Carlsbad_AO,L:\Shared\Projects\2023\23-058_Palomar-Airport-Rd-Car-Wash_Carlsbad_AO
23-059,The-Cliff_HendersonNV_AO,L:\Shared\Projects\2023\23-059_The-Cliff_HendersonNV_AO
23-060,Arc'teryx_Tigard_OR,L:\Shared\Projects\2023\23-060 Arc'teryx_Tigard_OR
23-061,PaneraBread_MissionVillage_AO,L:\Shared\Projects\2023\23-061_PaneraBread_MissionVillage_AO
